manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,48818912,T3 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818911,T2 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818910,T1 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1484727352,T16 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484727351,T15 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484727350,T14 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484727349,T13 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484727348,T12 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484727347,T11 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894437,T10 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894436,T9 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894435,T8 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894434,T7 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894433,T6 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894432,T5 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894431,T4 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894430,T3 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894429,T2 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,47894428,T1 SYN Master Fine,,,,,,,,,,,,
Elektron,Digitone II,1484697561,T16 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,1484697560,T15 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,1484697559,T14 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,1484697558,T13 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,1484697557,T12 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,1484697556,T11 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,47893476,T10 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,47893475,T9 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,47893474,T8 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,47893473,T7 SYN Master Tune,,,,,,,,,,,,
Elektron,Digitone II,47893472,T6 SYN Master Tune,,,,,,,,,,,,
